Item Code,Description,Short Desc.,$ Cost,$ Retail,Sale UOM Code,Sale UOM Conv,Item Class,Item Class 2,Item Class 3,Vendor
9005,Special of The Day 5,SOTD1650,0,16.5,Each,1,Food,Hot Food,,Trafalgar
9069,Special of The Day 7,SOTD1500,0,15,Each,1,Food,Hot Food,,Trafalgar
8010,Splash Mixer,SplashMix,0,1.5,Each,1,Soft Drinks,,,Trafalgar
1421,St Germain Double,StGerm50ml,1.3923,4,50ml,1,Alcohol,Alcohol - Spirits,Liqueur,Trafalgar
123,St Germain Elderflower Liqueur (Component),StGermBott,19.5,0,ML,0.0014,Alcohol,Alcohol - Spirits,Liqueur,Casa Juilia plc
9060,Staff Drinks,StaffDrink,0,0,Each,1,Comps,,,Trafalgar
580,Stiegl Goldbrau Lager,StieglButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
658,Stiegl Goldbrau Lager Half,StieglHalf,0.759639,3.7,HP,1,Alcohol,Alcohol - Beer,Kegs,Euroboozer Ltd
173,Stiegl Goldbrau Lager Keg (Component),StieglKeg,133.27,0,Pint,0.0113,Alcohol,Alcohol - Beer,Kegs,Euroboozer Ltd
659,Stiegl Goldbrau Lager Pint,StieglPint,1.505951,7.4,Pint,1,Alcohol,Alcohol - Beer,Kegs,Euroboozer Ltd
1316,Stolich Raspberry Double,SRasp50ml,1.19238,9.3,50ml,1,Alcohol,Alcohol - Spirits,Vodka Flavoured,Trafalgar
1315,Stolich Raspberry Single,SRasp25ml,0.59619,4.65,25ml,1,Alcohol,Alcohol - Spirits,Vodka Flavoured,Trafalgar
1319,Stolich S.Caramel Double,SCara50ml,1.19238,9.3,50ml,1,Alcohol,Alcohol - Spirits,Vodka Flavoured,Trafalgar
1318,Stolich S.Caramel Single,SCara25ml,0.59619,4.65,25ml,1,Alcohol,Alcohol - Spirits,Vodka Flavoured,Trafalgar
1310,Stolichanaya Double,Stoli50ml,0.92463,9.3,50ml,1,Alcohol,Alcohol - Spirits,Vodka,Trafalgar
1317,Stolichanaya Raspberry Vodka,SRaspButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
88,Stolichanaya Raspberry Vodka (Component),SRaspBott,16.7,0,ML,0.0014,Alcohol,Alcohol - Spirits,Vodka Flavoured,Casa Juilia plc
1320,Stolichanaya S.Caramel Vodka,SCaraButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
89,Stolichanaya S.Caramel Vodka (Component),SCaraBott,16.7,0,ML,0.0014,Alcohol,Alcohol - Spirits,Vodka Flavoured,Casa Juilia plc
